bvid,status,message
BV1w5NqzTEv7,SKIP,already downloaded
BV12ANqzCEcJ,SKIP,already downloaded
BV1R7MMzHEai,SKIP,already downloaded
BV1hvNqzQEfJ,SKIP,already downloaded
BV1GGNizUEuh,SKIP,already downloaded
BV1GG4y1a7j3,SKIP,already downloaded
BV1smNqzCEFG,SKIP,already downloaded
BV1GdMmzfEg2,SKIP,already downloaded
BV1yiM6zbEDQ,SKIP,already downloaded
BV1hS4y1g7bW,SKIP,already downloaded
BV1hnMSzhEA2,SKIP,already downloaded
BV15W4y1E7xE,SKIP,already downloaded
BV1yuNqzzEMw,SKIP,already downloaded
BV1SdNizEEJH,SKIP,already downloaded
BV1k5NqzKExT,SKIP,already downloaded
BV1Wg4y1472C,SKIP,already downloaded
BV13jNBz9Ef9,SKIP,already downloaded
BV1SpTTzKEWb,SKIP,already downloaded
BV1oJMgzZEi7,SKIP,already downloaded
BV15wNezmECx,SKIP,already downloaded
BV1WXNqzgEPZ,SKIP,already downloaded
BV1jBTqzqEXD,SKIP,already downloaded
BV1eKM1zsEtS,SKIP,already downloaded
BV1tr421x74Z,SKIP,already downloaded
BV13fqRYkEVZ,SKIP,already downloaded
BV1JoNqzqEdn,SKIP,already downloaded
BV1Ve4y1778B,SKIP,already downloaded
BV1Ce4y1L7tb,SKIP,already downloaded
BV1B3411j72w,SKIP,already downloaded
BV1NM4y1P7ss,SKIP,already downloaded
BV1ekjSzREY6,SKIP,already downloaded
BV1gx4y1Z7m9,SKIP,already downloaded
BV1BT4y1r7eZ,SKIP,already downloaded
BV1NB4y1J7bF,SKIP,already downloaded
BV1hf4y1q7Gg,SKIP,already downloaded
BV1rW4y1s72U,SKIP,already downloaded
BV1os4y1f7CM,SKIP,already downloaded
BV1DB4y1D786,SKIP,already downloaded
BV1ub4y1X7sr,SKIP,already downloaded
BV1oU4y1Q78f,SKIP,already downloaded
BV1VTEEzKEEF,SKIP,already downloaded
BV1rM4y1F7sW,SKIP,already downloaded
BV1sK4y1P76i,SKIP,already downloaded
BV1Rh411y7jr,SKIP,already downloaded
BV1bR4y147Ge,SKIP,already downloaded
BV1pZ421278u,SKIP,already downloaded
BV14U4y1h7vp,SKIP,already downloaded
BV1LL4y1z7Jt,SKIP,already downloaded
BV1GK4y1U7Ls,SKIP,already downloaded
BV164411C7AU,SKIP,already downloaded
BV185411w7d8,SKIP,already downloaded
BV1X5411J7mS,SKIP,already downloaded
BV1EU4y1c78c,SKIP,already downloaded
BV1Sb411W7Q5,SKIP,already downloaded
BV1QJ411y7Jw,SKIP,already downloaded
BV1yu411f7MJ,SKIP,already downloaded
BV1hv411b7he,SKIP,already downloaded
BV1Ct4y1Y7im,SKIP,already downloaded
BV1cV411h762,SKIP,already downloaded
BV1xv41147K8,SKIP,already downloaded
BV1RA41157gu,SKIP,already downloaded
BV15z4y1C7AD,SKIP,already downloaded
BV1zK411w77y,SKIP,already downloaded
BV1gZ4y1g7HP,SKIP,already downloaded
BV1mK4y1T7jQ,SKIP,already downloaded
BV1aT4y1A78M,SKIP,already downloaded
BV1kX4y1M7X8,SKIP,already downloaded
BV1aK4y1V7j8,SKIP,already downloaded
BV1cA411H7Fr,SKIP,already downloaded
BV1gA41147xC,SKIP,already downloaded
BV1Pr4y157KU,SKIP,already downloaded
BV1btVUzvEew,SKIP,already downloaded
BV1YW421X7E5,SKIP,already downloaded
BV1sdFeeYEDM,SKIP,already downloaded
BV1kGNqzqEZh,SKIP,already downloaded
BV19hNqzsEMA,SKIP,already downloaded
BV1bh411g7AX,SKIP,already downloaded
BV16sMtzEEt6,SKIP,already downloaded
BV1QYNvzLEFi,SKIP,already downloaded
BV18jNBz9ET8,SKIP,already downloaded
BV1Wh4y1478t,SKIP,already downloaded
BV1fn4y1Q7vB,SKIP,already downloaded
BV1MSTYzCEnR,SKIP,already downloaded
BV1R7421N7Fx,SKIP,already downloaded
BV1UVVbzVEve,SKIP,already downloaded
