bvid,title,pic,duration,pub_seconds_ago,view_count,danmaku_count,uploader_name,uploader_follower
BV1m1MUzsEqY,小白也能AI拍电影了，微表情细节到位,//i0.hdslb.com/bfs/archive/0c98a7b38e4f99f6492e635f6d3206e8f20633b8.jpg,3:13,189412,182574,62,Ai训练师大宇,24210
BV1SJT8ziEzE,AI未来已来：340页《人工智能趋势报告》重磅发布！,//i2.hdslb.com/bfs/archive/610f24daec7dd0bfbbc3be77b4c8d7d7da6ac175.jpg,16:29,945096,5111,0,通往agi的小爱,125
BV1bPMqz9ENR,PromptX | 重磅更新！MCP加持，女娲造角色！3分钟创造专业AI角色,//i1.hdslb.com/bfs/archive/b6fbf416f757139516c8b37cb0a788c56a033ae8.jpg,10:42,44732,1741,3,deepracticex7,886
BV1TeMbzwExw,【NAI4.5教程】NovelAI 4.5 Full 从零开始1小时掌握地表最强二次元AI画图工具的全部玩法｜重置版教程,//i0.hdslb.com/bfs/archive/64231068c0f338eb13d6a2934ac6cb7b1459988b.jpg,66:30,127237,9535,13,衡鲍,4845
BV1QzMUzbETz,AI视频新卷王！Nova搭配DS，一键直出多镜头AI视频广告,//i2.hdslb.com/bfs/archive/9fb0ef952b3c01b70ec23517b571a0247a16bfa4.jpg,5:25,128796,6252,9,半撇老师,108707
BV1i4JtzTEV4,【4k】这是你理想中的空乘吗？AI创作 by Charming Girls,//i1.hdslb.com/bfs/archive/f255125230a7d0928227899939e7449ad3fdc3c1.jpg,1:10,2377768,12361,5,Victor555666,617625
BV1P2TszCEAx,Ai山海经从此进入末日纪元，最不想发生的一集,//i1.hdslb.com/bfs/archive/25dc354034af74e8e9cb2372255a9c8241507f51.jpg,1:33,984075,141524,54,半半半猫,38075
BV1vX4y1C7b8,【AI绘画-小舞】晚风吹拂着小舞诱人的香肩，而你却在一旁静静的观望,//i2.hdslb.com/bfs/archive/44496a10dc6e86aadc69bedf578f7f2105d86714.jpg,1:11,65625065,63944,10,不想在风中凌乱,21831
BV1dokWYgE94,《生化危机》真人演绎AI,//i0.hdslb.com/bfs/archive/fa47b388841ef9cc76b9c0001268904969cd4b67.jpg,15:39,15355473,80300,753,AI同学绘,2863
BV1yaMiz1E7i,【全748集】大佬爆肝制作！目前B站最全最细的AI大模型全套视频教程，2025最新版，包含所有干货！七天就能从小白到大神！别再走弯路了！存下吧，很难找全的！！,//i1.hdslb.com/bfs/archive/1c2cf238cb3a803112d2a643ec83025eee20b446.png,1081:2,32676,4428,0,大模型学习课堂,618
BV1hdMezHEHq,Ai动画105-FusionX再进化！1秒一帧！视频整合包！MagCache KJ版详细教程！Lora版提高质量，精调Phantom-T8 Comfyui教程,//i2.hdslb.com/bfs/archive/ff17856f61cd5ced1d6ebb8f3a145ed4ff4152f5.jpg,18:39,51959,2503,4,T8star-Aix,45406
BV1US5dz4EQd,Ai山海经大电影，十三分钟超长版,//i2.hdslb.com/bfs/archive/5057ee7326e4f87e2fe010fda4a13a725d93c85e.jpg,13:35,4762274,574986,1173,半半半猫,38075
BV1nAJhznEpg,如果AI来执导蜘蛛侠2,//i2.hdslb.com/bfs/archive/29a55556e139549698669a0b7e0c09dd66880bb3.jpg,7:38,2113836,38188,109,雷文德斯岳不群,6083
BV1yDPCeaEbW,ai国风美女合集,//i0.hdslb.com/bfs/archive/90846f11f1957978dbc193887a802e3fc00cd1fc.jpg,1:5,11358420,29748,5,国际贩卖员,353
BV134cuegEaX,AI小电影之动漫姑娘集结α（25.1.12）,//i0.hdslb.com/bfs/archive/a877284c6f3b4edc7117c953d3470b5f1f785e32.jpg,2:24,13443799,28810,38,爱与辉行,46293
BV12N411N7R5,【AI绘画】“哪个干部经得起这样的考验啊？”,//i0.hdslb.com/bfs/archive/570b74892d275579fb82f909564da70aa5cb1dc7.jpg,3:26,69688800,80476,14,雨画晴天,63406
BV1mSTyzGEzR,国产AI生成视频大模型，再出王炸！一键生成炫酷电影大片！PixVerse拍我AI超级好用！,//i0.hdslb.com/bfs/archive/123e25881e723f827091af29f683ab5b46e3182a.jpg,3:6,811309,250126,204,闪电飞船,341372
BV1hz4y177B7,AI叛乱！当一个AI劝一群AI造反...,//i1.hdslb.com/bfs/archive/82c60d303f1c7516753f6c72155c3621f937b2ac.jpg,8:19,60625014,1207956,1954,林亦LYi,1134112
